FlightNumber,FlightDelayStatus
DFW_PHX_79875,1
LEX_ATL_99104,1
DEN_OAK_80254,1
SNA_ORD_67507,1
ATL_TUL_83069,1
AGS_ATL_71391,1
ATL_RDU_91152,1
SAN_SJC_79244,1
LAX_ORD_105366,1
MIA_RDU_59500,1
SJU_ATL_90900,1
MIA_SJU_62423,1
ORD_XNA_65795,1
ORD_PVD_103724,1
JFK_LAX_57049,1
CLE_RDU_80772,1
DFW_DTW_104263,1
DFW_SGF_73338,1
DEN_DFW_101303,1
CLT_PVD_57379,1
DTW_DFW_56832,1
DFW_CLL_66452,1
DEN_PHX_75634,1
IAD_DTW_68759,1
BWI_DFW_99440,1
MSP_EWR_84575,1
JAN_CVG_70302,1
LAX_DEN_97067,1
LGA_CLE_60260,1
ATL_ROA_81364,1
CVG_PNS_67574,1
BDL_RSW_84763,1
ORD_LAS_102247,1
BWI_SLC_59510,1
SLC_DEN_70740,1
TYS_CVG_67243,1
SRQ_CVG_89913,1
CLE_PHL_98392,1
IAH_LGA_63806,1
CRP_IAH_81117,1
PHL_DFW_65433,1
DFW_EWR_62078,1
GSO_IAH_70528,1
DTW_LGA_77916,1
MDW_ATL_83761,1
GTF_MSP_66195,1
PHX_HOU_63090,1
BOS_LGA_75550,1
MDW_MCI_75955,1
ORD_RIC_71047,1
CVG_MSP_95392,1
LGA_ORD_89247,1
PHL_MCO_105253,1
IND_MCO_84890,1
ATL_AUS_83980,1
BGR_EWR_91223,1
IAH_RIC_103710,1
SJC_MSP_65270,1
DEN_MRY_83017,1
JAX_LGA_93818,1
SAN_OAK_102769,1
SLC_SBA_76109,1
MSY_MSP_100879,1
MCO_CVG_67751,1
DTW_IND_103944,1
LGA_GSO_102360,1
PHX_PDX_93574,1
DEN_CPR_65884,1
SJU_PHL_78177,1
TPA_DCA_101454,1
BOS_DCA_61540,1
GEG_SEA_100968,1
TPA_IAH_92618,1
OKC_ATL_73180,1
ORD_IAD_72510,1
MCO_BNA_87167,1
ORD_CLE_76442,1
ATL_DFW_100983,1
DFW_DCA_69077,1
LAX_JFK_94077,1
MKE_CLE_70995,1
DTW_MSP_77941,1
MSP_IAH_95050,1
MTJ_DEN_85142,1
ORD_SLC_83243,1
ORD_MSP_81112,1
BOS_LGA_100938,1
SAN_SMF_95766,1
LBB_AUS_85920,1
SMF_SAN_82382,1
LIH_LAX_70477,1
BOS_JFK_102406,1
PHX_MCI_71513,1
BDL_RDU_58993,1
ATL_SEA_85174,1
MCO_ATL_104675,1
MDW_DTW_90754,1
LAX_DEN_56942,1
PVD_PHL_89826,1
CMH_LAS_68209,1
LAS_LIT_93544,1
PHL_MHT_72115,1
BWI_DTW_66148,1
ORD_TUL_62074,1
MKE_MSP_93233,1
PDX_LAX_61930,1
CMH_EWR_76125,1
SLC_HLN_98326,1
AUS_IAH_80389,1
CHS_JFK_103644,1
OMA_ATL_74671,1
RDU_PHL_56954,1
MDW_PHX_101345,1
PHX_SNA_88633,1
CLT_LAS_71409,1
DFW_LAS_59173,1
SLC_PHX_68721,1
MDW_MSP_66270,1
ATL_DFW_94614,1
SJC_DFW_84476,1
PHX_ELP_93261,1
JFK_IAD_102174,1
ORD_TUL_75488,1
IAH_STL_90118,1
PFN_MCO_87148,1
JFK_LGB_76187,1
PHL_MCO_80370,1
ALB_DTW_70584,1
MTJ_DEN_92090,1
ATL_CAE_77041,1
ORD_GSO_68522,1
DFW_ORD_83909,1
AVL_EWR_78127,1
SBN_ATL_66705,1
IAH_OAK_96437,1
OAK_IAH_63424,1
MSP_EWR_96075,1
LGA_CLT_75041,1
PHL_MHT_82727,1
MSY_ATL_61608,1
CMH_LAS_93337,1
ATL_LYH_100620,1
SLC_SNA_65448,1
OAK_LGB_71775,1
CLE_MDW_65562,1
ORD_EWR_58616,1
ATL_HPN_78608,1
EWR_DAB_105128,1
BWI_ORD_68892,1
IAH_BHM_87669,1
MDW_LAS_67183,1
ROC_ATL_57993,1
PBI_CLT_88853,1
ORD_PHX_57520,1
MDW_DTW_67410,1
ATL_MCI_89362,1
DFW_ATL_57381,1
JFK_BWI_96349,1
DTW_LGA_79517,1
LIT_LAS_69844,1
LAS_LAX_74662,1
PNS_CVG_83630,1
ORD_DFW_71497,1
PIA_DFW_96054,1
JAN_IAH_71435,1
BOS_LGA_87536,1
IAH_PHX_91596,1
DFW_STL_103062,1
DCA_CVG_92165,1
LGA_JAX_101150,1
PHL_JAX_62778,1
LEX_EWR_103037,1
DEN_DTW_83133,1
CMH_IAH_105601,1
HKY_ATL_71388,2
IAH_LIT_66008,1
IAH_LAX_95466,1
ATL_ILM_83886,2
FCA_SLC_81679,1
MSP_PHL_68986,1
MIA_CLE_80731,1
HOU_LAS_93145,1
MDW_CMH_102405,1
DTW_ATL_95842,1
PBI_PHL_73557,1
DEN_SEA_99816,1
RDU_LGA_100984,1
ORD_CLE_78418,1
CVG_LIT_88421,1
ATL_SFO_86924,1
DFW_ORD_60195,1
EWR_ORD_81674,1
IAD_PWM_99494,1
SFO_ORD_96750,1
LAX_PHX_63087,1
MSP_PHL_56996,1
PHX_SJC_79298,1
ORD_MBS_62763,1
LAX_SFO_67099,1
COS_CVG_100881,1
EWR_MSY_68280,1
TXK_DFW_69080,1
ORF_JFK_96142,1
ORD_MEM_96468,1
PHX_LAX_75236,1
BNA_DTW_92012,1
HNL_ATL_78754,1
PHX_LAX_75715,1
HSV_IAH_62543,1
ATL_MEI_105242,1
CVG_CAK_101878,1
TRI_ATL_96766,1
ROC_ATL_90415,1
CVG_CLT_98855,1
OAK_PHL_89856,1
TPA_PHL_94620,1
SBA_SLC_86173,1
BFL_SLC_78733,1
ORD_PSP_96037,1
PHL_LAX_104475,1
DEN_BZN_102518,1
SYR_EWR_91040,1
LGA_CLT_99361,1
PHX_PDX_64652,1
ATL_MDW_58704,1
OMA_DEN_65009,1
PDX_LAX_74879,1
MCI_DTW_105442,1
STL_LGA_94862,1
LAX_OAK_70660,1
ATL_CHO_69636,1
BOS_MCO_65114,1
DFW_LAS_104116,1
JFK_SEA_62593,1
SLC_LIT_102379,1
MSY_BNA_88328,1
MCO_PHL_66206,1
LGA_BOS_102553,1
DFW_DTW_68839,1
ATL_HOU_95248,1
DFW_SJT_73078,1
PWM_ATL_78239,1
MDW_MCO_62222,1
ORD_XNA_98655,1
ISP_CVG_99915,1
DAY_ATL_73708,1
ATL_PHL_74006,1
ORD_EWR_100190,1
CHS_LGA_82340,1
SFO_BOS_94920,1
CVG_MCO_75491,1
DTW_PHL_88366,1
DAL_MSY_65173,1
CMH_MSP_95276,1
JFK_ORF_62672,1
DTW_IAD_83670,1
DTW_LGA_86917,1
SEA_SFO_82440,1
MIA_CLT_95807,1
PBI_EWR_82251,1
CMH_MIA_67497,1
TPA_PHX_88083,1
SBP_SFO_91480,1
LGA_CAE_60219,1
LAX_LAS_63207,1
SAN_SEA_63226,1
DCA_ORD_90865,2
LAS_MDW_68622,1
SEA_MDW_76139,1
SNA_ORD_87967,1
JFK_LAS_87361,1
MSP_LGA_96965,1
BWI_BNA_63909,1
LGA_RIC_82454,1
EVV_ORD_77017,1
DEN_MCI_97478,1
DEN_SAN_57400,1
ATL_IAH_86789,1
TPA_DCA_74382,1
ATL_SJU_61349,1
JFK_GSO_92511,1
DFW_LAS_83977,1
MSP_CVG_76988,1
LGA_CAE_78913,1
CLT_ATL_78341,1
DEN_DCA_80512,1
DFW_LAX_105610,1
DTW_LGA_56877,1
RIC_CVG_79090,1
IAH_DTW_75573,1
IAH_HRL_87313,1
DTW_LGA_80807,1
SFO_DFW_73804,1
SLC_SAN_67304,1
DEN_PIT_61794,1
IAD_EWR_89631,1
CMH_IAD_75722,1
MHT_BWI_57571,1
ATL_MDW_83311,1
ATL_IAH_73870,1
IAH_ATL_82636,1
ORD_CVG_92532,1
LAX_DEN_103616,1
DFW_PHL_87247,1
MDW_JAN_80391,1
DFW_MIA_80105,1
ROA_ATL_62840,1
CLT_BHM_95515,1
MSP_MDW_64330,1
PIT_MCO_98196,1
IAD_CLT_77802,1
ATL_FNT_70717,1
MSP_LGA_80056,1
SNA_DFW_77555,1
DFW_MSP_69679,1
MCO_DEN_91515,1
PIT_DFW_63414,1
IAH_MFE_67252,1
BDL_BWI_59235,1
LIT_CVG_73285,1
BWI_MIA_75389,1
GPT_ATL_61682,1
LAS_SAT_81077,1
SFO_SLC_70102,1
MCO_SJU_88713,1
ATL_IAH_87353,1
MSP_ORD_80406,1
OAK_BUR_69404,1
BWI_FLL_81544,1
IAH_ORD_63872,1
ORD_BHM_67797,1
LBB_IAH_87869,1
BDL_MDW_70903,1
LAS_HOU_71264,1
SNA_PHX_66716,1
JFK_LGB_87272,1
DTW_ATL_81590,1
HSV_CVG_91780,1
PHX_ABQ_85089,1
LAS_LAX_100053,1
CLE_DFW_105331,1
LGA_DTW_100483,1
ATL_PNS_65927,1
RSW_CVG_64106,1
BOI_SEA_99888,1
FLL_ATL_85220,1
COS_IAH_90158,1
DTW_RDU_86786,2
SLC_MSO_84953,1
BUF_ORD_67033,1
GSP_CVG_64319,1
OMA_SLC_94219,1
SFO_BOI_91252,1
DSM_CVG_97489,1
SJC_AUS_66038,1
MKE_LAS_94476,1
EWR_DFW_91939,1
MDT_CVG_79533,1
MCO_PHL_94525,1
ATL_FWA_76395,1
RDU_BOS_56886,1
SAT_DFW_72558,1
LAS_CMH_60014,1
ORD_ROC_90784,1
IAH_PDX_61501,1
IAD_JFK_72281,1
LGA_MCO_88285,1
BWI_SFO_80741,1
DFW_BTR_101083,1
DCA_SYR_63092,1
CVG_SAT_67541,1
ORD_DSM_74304,1
DTW_BOS_67583,1
BWI_DFW_102415,1
DEN_IAH_73898,1
SGU_SLC_70340,1
LGA_DCA_87317,1
CVG_SHV_60701,1
CVG_OKC_68561,1
ORD_SNA_104296,1
ABQ_CVG_82058,1
CLE_ATL_83658,1
BOS_DCA_92242,1
ORD_CVG_61127,1
DFW_LAW_57642,1
TUS_DEN_95880,1
ATL_AVP_99896,1
MHT_BWI_70822,1
IAH_ATL_104272,1
CVG_CAE_80548,1
TPA_ATL_102848,1
MSP_MCI_100654,1
MCI_ATL_81293,1
SAV_ORD_60665,1
BNA_ORD_103063,1
HOU_MDW_71096,1
SHV_ATL_68969,1
HOU_ELP_73385,1
IAH_STL_64599,1
ATL_IND_62920,1
EWR_MCO_67486,1
EVV_ORD_66097,1
ORD_DCA_98962,1
SEA_ANC_78682,1
MSP_MCO_78603,1
RDM_SFO_86080,1
LGA_MEM_101360,1
FLL_BOS_57957,1
PHL_ATL_61106,1
DCA_BUF_95666,1
PHL_DFW_104438,1
PIT_ORD_78421,1
JAX_BWI_64373,1
RDU_MIA_56935,1
HNL_SEA_103927,1
OAK_JFK_59291,1
LGA_RIC_63323,1
EVV_ATL_70513,1
DFW_HOU_102392,1
IAH_BOS_72303,1
STL_TPA_97214,1
GRR_ATL_66334,1
ATL_MEM_82696,1
DEN_IAH_95161,1
SJC_PHX_95306,1
SFO_FAT_92889,1
SAV_IAD_98543,1
AUS_SLC_69515,1
ORD_SAT_85480,1
BOS_CLT_94802,1
DFW_ORF_84257,1
EWR_MSP_98294,1
ROC_ORD_80616,1
CLT_ATL_77156,1
MCO_BDL_82059,1
PHX_STL_99854,1
DEN_ORD_85794,1
MCO_GSO_58431,2
CLT_PIT_60469,1
SNA_CVG_76224,1
DCA_EWR_58916,1
MSY_MEM_80486,1
DTW_BDL_88930,1
IAH_GPT_91570,1
ATL_FWA_72167,1
DCA_ORD_85788,1
ORD_RIC_84877,1
MDT_DTW_59692,1
MDW_DTW_89574,1
SNA_OAK_91362,1
LIT_ATL_73769,1
MCO_DFW_68519,1
DFW_LGA_96933,1
DEN_RAP_100902,1
PHL_SEA_103690,1
MHT_PHL_62178,1
SLC_PHX_99183,1
JAX_JFK_70643,1
ORD_LAS_82947,1
MHT_BWI_77197,1
MCO_SFO_73605,1
PHL_MSY_105678,1
ANC_OTZ_67526,1
MDW_BWI_73315,1
BOS_BWI_77301,1
MGM_ATL_75905,1
BDL_CLE_83396,1
ORD_OKC_61944,1
DFW_ICT_67719,1
CVG_PNS_62340,1
DEN_MSO_67036,1
DFW_DCA_65362,1
GSO_BOS_83861,1
PHL_CHS_58056,1
DCA_PHX_61996,1
JFK_RSW_70242,1
IAH_PHL_78391,1
OAK_PHX_71192,1
PHF_ATL_100929,1
SAV_LGA_62936,1
MSP_PHL_79944,1
MCI_IAH_103605,1
MDW_PHL_58765,1
EWR_MSP_67666,1
BHM_MDW_75386,1
ALB_DTW_88565,1
PVD_MCO_80328,1
ORD_CHS_99554,1
DEN_SEA_70752,1
ORD_RDU_73516,1
SMF_ONT_71417,1
IND_LAX_84092,1
CLT_IAH_91324,1
MCO_ATL_78150,1
OKC_CVG_83704,1
DTW_LGA_83428,1
STL_MCO_90719,1
SNA_SEA_68353,1
DCA_IAH_84824,1
ORD_TPA_95272,1
RDU_JFK_81747,1
ATL_IAD_64981,1
FAR_ORD_64021,1
DFW_CAE_68726,1
JFK_LAX_85647,1
DTW_DCA_69331,1
MLB_IAD_82841,2
EWR_ALB_94184,2
BHM_MDW_61070,2
PHL_FLL_57380,2
BUF_PHL_62355,1
CVG_MSP_104717,1
SFO_MSP_103653,1
IAD_HSV_69909,1
PHL_RDU_78591,1
FWA_ORD_99263,1
ATL_MEM_97354,1
EWR_ATL_75849,1
SRQ_ATL_77770,1
LAX_SJC_68212,1
LAX_HNL_79732,1
BWI_SLC_82239,1
DCA_BOS_70143,1
BOS_JFK_81634,1
IAH_DEN_92964,1
MSP_ATL_68148,1
STL_EWR_63162,2
EWR_SAN_70093,2
MCO_MIA_67788,1
CMH_PHL_103783,1
DEN_LNK_96019,1
BWI_MDW_64730,1
ATL_LGA_100818,1
TUS_DFW_85029,1
ATL_PIT_94941,1
LGA_CHS_86104,1
TLH_JFK_95957,1
ATL_SJU_96753,1
CVG_LAS_99578,1
MDW_IAD_90171,1
ABQ_DEN_57270,1
DEN_SNA_98615,1
CMH_IAD_64643,1
DFW_SMF_79608,1
DFW_BWI_58734,1
LGA_DCA_66127,1
BOS_PBI_100426,1
DFW_MKE_91459,1
BDL_MCO_77980,1
DEN_DFW_59070,1
LAX_DFW_87098,1
AGS_ATL_99092,1
MIA_ORD_101474,1
DEN_MCI_78975,1
CVG_PHX_73728,1
OAK_SEA_96403,1
DFW_AMA_101714,2
MKE_CVG_92952,2
IAD_JFK_79830,1
ROC_ATL_73254,1
MDT_DTW_74444,1
OAK_LAS_71378,1
LAX_DEN_66789,1
SLC_COS_82662,1
HOU_MDW_85638,1
BOS_LGA_68289,1
TPA_DFW_105334,1
MIA_RIC_69169,1
EWR_BWI_102665,1
ATL_OKC_100886,1
MHT_ATL_91915,1
BOS_BWI_101254,1
LAS_DEN_69197,1
BHM_CVG_60809,1
ATL_PBI_95418,1
LBB_IAH_101125,1
RDU_ATL_76077,1
ATL_MIA_76449,1
IAD_EWR_59966,1
CMH_MSP_89277,1
ATL_MSP_67753,1
BWI_MIA_102305,1
DCA_MIA_80795,1
MLI_CVG_102726,1
LAX_LIH_57126,1
ATL_AUS_60837,1
EWR_MSP_67066,1
OMA_DEN_58001,1
RDU_JFK_93040,1
CLE_ABE_105613,1
ATL_LAX_102531,1
PIT_DEN_59546,1
MSP_MDW_86349,1
AUS_LAX_77165,1
CLT_BNA_57504,1
MCO_IND_98504,1
MSY_HOU_60197,1
ATL_SHV_82919,1
LAS_PHX_101088,1
SLC_DEN_97302,1
IAH_OKC_96388,1
DAY_ATL_90362,1
MCO_MSP_87235,1
FAT_SLC_82704,1
STL_CLE_90811,1
ORD_MCO_63802,1
FCA_SLC_64140,1
FAT_LAX_98578,1
CAK_ATL_82596,1
HNL_LAX_82729,1
JFK_GSO_64773,1
OAK_SNA_99801,1
GRR_CVG_100455,1
SJC_SNA_96911,1
COD_SLC_83885,1
CAE_LGA_69708,1
MDT_ORD_88135,1
FLL_ATL_82213,1
LAX_BOS_65296,1
CMH_LGA_79461,1
RNO_PHX_73569,1
BWI_IND_94950,1
ORD_DFW_104736,1
HOU_PHX_88471,1
SAN_SJC_89269,1
LBB_DFW_88447,1
TPA_PHX_86028,1
DFW_DEN_83366,1
EWR_MEM_102442,1
STL_MCO_78925,1
DFW_SJC_77020,1
BWI_RSW_74211,1
BOS_MIA_98481,1
EWR_MSP_76725,1
PHL_ORD_85292,1
DEN_MSO_60951,1
LGA_MEM_59716,1
GNV_ATL_83788,1
GSO_EWR_91060,1
PIT_TPA_72594,1
ATL_PHL_101047,1
IAH_ATL_78892,1
MCO_PHL_70524,1
LAX_MRY_67045,1
ONT_IAH_57707,1
BWI_BDL_57285,1
BWI_BOS_58749,1
RSW_MSP_94853,1
DTW_BWI_99221,1
MSP_CLE_83965,1
RDU_DFW_70108,1
LGA_CHS_59138,1
DTW_BOS_78494,1
IAD_GSO_88096,1
FAT_DEN_72273,1
GSP_DFW_103476,1
DSM_DEN_62364,1
DTW_ORD_80894,1
MCI_ORD_79070,1
DFW_ORF_65828,1
ORD_BOS_100255,1
ATL_RIC_74397,1
GEG_SLC_59256,1
PHL_SJU_65301,1
SFO_SNA_97914,1
IAH_ORD_59761,1
IAD_EWR_97999,1
ATL_IND_76405,1
PVD_CVG_96133,1
ALB_BWI_73807,1
CVG_BNA_104876,1
DFW_BDL_97004,1
BOS_TPA_100021,1
DFW_LGA_81816,1
IAH_MFE_62448,1
DCA_BTV_91117,1
FAT_DEN_58032,1
EWR_ROC_100425,1
PHX_MSP_100384,1
DEN_DFW_92414,1
PIT_SJU_81819,1
BNA_LGA_63582,1
MDW_MCI_80692,1
ATL_MSY_80871,1
PVD_MCO_61325,1
ATL_MEM_103738,1
BDL_IAD_79976,1
MCI_ORD_103659,1
PDX_CVG_71186,1
CAK_MCO_68512,1
LAS_TUS_56887,1
DTW_ORD_72538,1
ORD_MEM_82093,1
PDX_ORD_78604,1
IAH_DFW_102453,1
BOS_DCA_66218,1
IAD_ATL_77265,1
MCI_DFW_93575,1
SLC_CDC_84680,1
DFW_SJC_95208,1
SMF_LAS_68358,1
SFO_SAN_64765,1
CMH_LAS_80366,1
AUS_DFW_101935,1
LAX_ORD_70494,1
MEM_CVG_97981,1
CHO_ATL_63615,1
OMA_EWR_81132,1
BWI_SJU_91572,1
MEM_DFW_85763,1
FAY_ATL_87232,1
SEA_SMF_60973,2
GTF_MSP_87089,2
SJC_SNA_99491,2
PHL_MSY_85839,1
JAN_HOU_81199,1
MDW_BWI_100618,1
DFW_XNA_75074,1
PWM_LGA_85905,1
MCO_BNA_77274,1
DFW_ELP_58783,1
RDU_CVG_70397,1
ATL_CLT_63169,1
DFW_TXK_97207,1
IAH_PHX_78774,1
CVG_MKE_103375,1
CLT_MIA_87203,1
SMF_PHX_100363,1
SAN_PHX_92122,1
IAD_JAX_77541,1
SFO_JFK_65105,1
DTW_LAS_71309,1
MSP_MEM_73444,1
PHX_STL_101062,1
CLT_DCA_69354,1
EWR_MSP_68768,1
SAN_LAS_92888,1
LAS_ABQ_91522,1
MSY_LAX_85034,1
FCA_SLC_88092,2
PHX_DTW_101959,2
SEA_LAX_65445,1
MSP_GRR_79355,1
IAH_PSP_91093,1
CVG_TPA_102443,1
BWI_PVD_59366,1
SFO_STL_96375,1
EUG_SFO_59615,1
ATL_PDX_87324,1
MEM_PHL_73259,1
XNA_IAH_100379,1
OAK_PDX_101625,1
IAH_DCA_77946,1
SBN_ATL_75417,1
MHT_DTW_97842,1
ATL_PHF_63488,1
FCA_SLC_96684,1
DFW_LAS_67445,1
ATL_ROC_89176,2
DEN_CVG_60702,2
OAK_SAN_57823,2
DTW_DFW_59529,2
STL_SFO_79781,2
MDW_PIT_76571,1
OKC_EWR_82020,1
ABE_ATL_105100,1
MEM_TPA_93114,1
ATL_DCA_90420,1
PHL_ORD_103818,1
DTW_EWR_68154,1
DEN_MIA_83933,1
ORD_PIT_77115,1
DFW_OAK_95378,1
CHS_ATL_103885,1
RDU_AUS_77901,1
LGA_BHM_82786,1
IND_MCO_99672,1
ABQ_MAF_68900,1
LAS_PHX_91503,1
COS_MSP_95228,1
TPA_CVG_67777,2
BWI_JAN_89999,2
JFK_PHL_74300,1
DTW_MSN_99919,1
SBA_SJC_63938,1
SEA_LAX_96495,1
CVG_MKE_75064,1
PHL_RIC_65536,1
MOB_ATL_90346,1
SAN_DEN_103106,1
FAY_ATL_94612,1
DCA_IAH_72267,1
BTV_CLE_90075,1
ATL_DCA_80559,1
DEN_PSP_75026,1
IAH_MOB_88720,1
BOI_DEN_96170,1
TPA_LAS_86430,1
SFO_SNA_68501,1
ORD_CHA_71087,1
IAH_SNA_59951,1
PDX_MSP_90107,1
LAX_SBP_66007,1
ATL_XNA_81150,1
LAX_SLC_73900,1
DCA_IAH_70329,1
CLE_ORD_99341,1
CVG_MDT_98308,1
TPA_PHL_57717,1
DCA_CVG_69293,1
LAX_OGG_85458,1
TPA_ATL_59750,1
AUS_PHX_72919,1
SAN_SLC_79487,2
DFW_CLT_78772,2
GSO_DFW_66123,1
SJC_SLC_61332,1
XNA_ATL_75929,1
ATL_MEM_99110,1
ATL_FLL_80464,1
IAD_EWR_99506,1
PBI_ORD_89583,1
BOS_PHL_78599,1
DFW_ICT_90616,1
ATL_PIA_66278,1
BNA_MDW_66703,1
CVG_GSP_67786,1
IAD_CHS_74145,1
IAD_BDL_61544,1
SJU_DFW_69941,1
SMF_LAX_73030,1
ATL_RIC_98969,1
SFO_CLE_97405,1
ILM_ATL_100023,1
EWR_DCA_57910,1
GSO_MCO_60392,1
SFO_IAD_74471,1
SEA_IAD_58133,1
SEA_PHX_99474,1
MCO_PHX_75675,1
CVG_MCI_77776,1
DSM_CVG_90199,1
ATL_EWR_71996,1
SEA_LAX_57980,1
DEN_GTF_99248,1
ATL_AVP_83379,1
PVD_PHL_75939,1
BOS_ORF_74953,1
HOU_MDW_96611,1
